"split","quartile_ood","y_unc_mean","y_unc_se","ood_score_mean","ood_score_se","MCSF_mean","MCSF_se","mean_z_dist_mean","mean_z_dist_se","Tanimoto_scaffold_to_train_mean","Tanimoto_scaffold_to_train_se","Cats_cos_mean","Cats_cos_se","balanced_acc_mean","balanced_acc_se"
"Test","1",0.129866085558066,0.0865417885186676,0.235937764840393,0.343787530799178,0.324643134979652,0.0105692437278463,14.9996766212723,0.129644597952857,0.492816243835248,0.0191169972736895,0.365371734850551,0.0199726475357468,0.830465992994739,0.0195421737922257
"Test","2",0.119244333790787,0.0858805522131034,0.482371238014658,0.244263271484748,0.309299053612749,0.00921658189356885,15.7840240599417,0.133205398162305,0.487457657091267,0.0185767070619474,0.355917445235387,0.0184770205555295,0.810456367073625,0.0211632661928318
"Test","3",0.109613471291461,0.0767853121151031,0.614380194545116,0.188633050468149,0.298040076114391,0.00927479222736323,16.4581083274296,0.151676430957495,0.477841097178136,0.0171073450401243,0.349298933709699,0.0162212143976031,0.800685642362006,0.0216731073485097
"Test","4",0.120162473237354,0.0798308059843717,0.715314088208494,0.156704034609466,0.285366803930794,0.00841898795884768,17.1691517619092,0.285100911371797,0.466953856228265,0.0162749750210979,0.346079347238757,0.015970714013412,0.798921114937478,0.0205121464703628
"Test","5",0.12618046036922,0.0827975123549732,0.802653984633493,0.134940840056623,0.273220493284656,0.00745480621581875,17.7667224230147,0.353184100285007,0.458879190016359,0.0153650266701762,0.334106662675326,0.014365931159166,0.71753774500941,0.022898305274423
"Test","6",0.126142792927462,0.0873042976175273,0.882893126259091,0.13570398952259,0.269483996631346,0.012655588770417,18.4802770280036,0.439813945690573,0.450159053540284,0.0159437906592343,0.327531397695784,0.0131585904801463,0.720873452121185,0.0316808471412104
"Test","7",0.125557260130209,0.0814356608537773,0.961250384321317,0.127266363988891,0.260582241946562,0.00912958125927588,19.0785249928775,0.472915150078447,0.434185124899638,0.0155646198521355,0.321132356874868,0.0140174278890895,0.734119050373821,0.0300667786427093
"Test","8",0.137724123415501,0.0907284204806076,1.08172257786935,0.123626082715817,0.257495225304801,0.0134178696676025,19.5807808567855,0.471515225794972,0.431595403730033,0.016805192790327,0.319140657390126,0.0162092407910202,0.707050715240604,0.0342604250012242
"OOD","1",0.165406156991872,0.133893257953195,0.327780261046721,0.302857712836727,0.296198637100979,0.00988723989293212,16.0724140021641,0.295634563797582,0.341849921772079,0.0156234745191222,0.306814583784701,0.0167668377223561,0.698974282320516,0.0507534950294925
"OOD","2",0.163914346489156,0.117710654309974,0.506245033227691,0.221168992048939,0.278456634287845,0.00898406506549124,16.7284746518585,0.298651444150037,0.339778526572221,0.0152939000170731,0.310922856136964,0.0160887532492821,0.689966027006279,0.0338200523582316
"OOD","3",0.162331268596033,0.109452873432661,0.619215030618732,0.190270558113709,0.277948544802199,0.00844408388286975,17.5324766757519,0.427665463015097,0.339386916914411,0.0151312667146463,0.320921839547539,0.0170869446684156,0.624989140438915,0.0253486384272113
"OOD","4",0.145836249655781,0.100738488487397,0.722916866140076,0.150749515882587,0.268049785860274,0.0081522385911382,17.8758446695679,0.419481120766171,0.33981914068108,0.0147235857071087,0.314140302580201,0.0136478627979524,0.624601205557409,0.0249895897265368
"OOD","5",0.155959629425621,0.0985205956611432,0.80692424683775,0.1442729557697,0.254216048131149,0.00751179528193434,18.35159450274,0.488550504989495,0.329770597434951,0.0136870820806113,0.31132849264673,0.0133497127400966,0.579966358415498,0.0280003623239578
"OOD","6",0.155138107459408,0.103268933371602,0.883012274202982,0.130969894093884,0.250282576172595,0.00898203614215634,18.7519152365597,0.511817039860169,0.327104633508539,0.0129426759875635,0.309973518047654,0.0128806589599573,0.609177527129298,0.0272435074120996
"OOD","7",0.158896454296941,0.10269498314785,0.964007526171152,0.132384193124105,0.249837482588454,0.00867800776639177,19.224891467553,0.584329134793643,0.321471938433059,0.0128442374233895,0.304486778498249,0.0118466961893058,0.604979982458661,0.0262829254177482
"OOD","8",0.159610576011215,0.099880426558119,1.10623924478742,0.157415641185143,0.2525672470267,0.00973781498009505,20.3057164825295,0.673888197219635,0.31390155503625,0.0123386872862354,0.296364231520047,0.0116774586361441,0.587968779767148,0.0234765649692981
